imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt6319010,Santa Maria della Salute,Santa Maria della Salute,2016,2016-12-20,"Biography, Drama",118,Serbia,Serbian,Zdravko Sotra,Zdravko Sotra,RTS,"Vojin Cetkovic, Tamara Aleksic, Aleksandar Djurica, Danijela 'Nela' Mihajlovic, Nebojsa Ilic, Milica Grujicic, Sloboda Micalovic, Aleksandar Bercek, Svetlana Bojkovic, Ljubomir Bulajic, Vaja Dujovic, Nebojsa Dugalic, Dejan Lutkic, Ivan Djordjevic, Maja Sipovac","The film narrates a tormented love story between one of the most famous poets of Serbian literature, Laza Kostic, renowned for his sublime poetic puns and word coining and an enchanting ...",7.1,350,,,,,2.0,1.0
tt6320482,Octavio Is Dead!,Octavio Is Dead!,2018,2018-06-02,Drama,88,Canada,"English, Spanish",Sook-Yin Lee,"Sook-Yin Lee, Adam Litovitz",The Film Farm,"Sarah Gadon, Stephen Park, Rosanna Arquette, Rachael Crawford, Marie Brassard, Raoul Max Trujillo, Ho Chow, Dimitris Kitsos, Frank Moore, Billy Otis, Alexandra Tigchellar, Randy Gagne & Still Boys, Stephen Jackman-Torkoff, Marni Van Dyk, Gage Graham-Arbuthnot","Tyler tries to discover the father she never got the chance to meet in this stirring psycho-sexual ghost story, exploring themes of gender and sexual identity.",4.1,231,,,,,8.0,12.0
tt6320628,Spider-Man: Far from Home,Spider-Man: Far from Home,2019,2019-07-10,"Action, Adventure, Sci-Fi",129,USA,"English, Italian, Czech",Jon Watts,"Chris McKenna, Erik Sommers",Columbia Pictures,"Tom Holland, Samuel L. Jackson, Jake Gyllenhaal, Marisa Tomei, Jon Favreau, Zendaya, Jacob Batalon, Tony Revolori, Angourie Rice, Remy Hii, Martin Starr, J.B. Smoove, Jorge Lendeborg Jr., Cobie Smulders, Numan Acar",Following the events of,7.5,304708,$ 160000000,$ 390532085,$ 1131927996,69.0,2041.0,415.0
tt6320684,Les rois mongols,Les rois mongols,2017,2017-09-22,Drama,102,Canada,"French, English",Luc Picard,"Nicole Bélanger, Nicole Bélanger",Echo Media,"Milya Corbeil-Gauvreau, Henri Richer-Picard, Anthony Bouchard, Alexis Guay, Clare Coulter, Maude Laurendeau, Julie Ménard, Sophie Cadieux, Jean-François Boudreau, Martin Desgagné, Bobby Beshro, Nicola-Frank Vachon, Emmanuel Charest, Gabriel Lemire, Frédérique Proulx","Montreal, October 1970. Twelve-year-old Manon's family is on the verge of collapse; she and her little brother Mimi are about to be placed in Foster Care. Manon is incensed. Inspired by the...",7.2,281,,,,,4.0,7.0
tt6322522,DeadThirsty,DeadThirsty,2017,2017,Horror,120,USA,English,Jason Winn,"Jonathan W. Hickman, Maggie D. Hickman",Dead Thirsty Movie,"Sara Bess, Evan Taylor Williams, Melissa Kunnap, Jared Sullivan, Pedro Paulo Ferreira, Rich Robertson","Set in 1992, during a hallucinogenic drug nightmare infused with illicit partying and forbidden sex, young ravers discover the murderous world of the DeadThirsty.",2.6,111,,,,,4.0,9.0
tt6322902,Hjemsøkt,Hjemsøkt,2017,2017-11-24,"Crime, Drama, Horror",81,Norway,Norwegian,Carl Christian Raabe,Maja Lunde,Woodworks Film Company,"Synnøve Macody Lund, Ebba Steenstrup Såheim, Ken Vedsegaard, Jorunn Kjellsby, Robert Skjærstad, Ola Otnes, Cecilie Jørstad, Jan Alfred Sandven, Eduardo Garcia-Drageseth, Pål Espen Kilstad, Mari Ellefsæter","After her father's death Catherine travels back to her old family estate in winter time Norway. When locals start telling stories of disappearances and possible murders, she is forced to confront her family's mysterious past.",4.8,569,,,,,6.0,13.0
tt6323858,Sekai wa kyô kara kimi no mono,Sekai wa kyô kara kimi no mono,2017,2017-07-15,"Drama, Romance",106,Japan,Japanese,Masaya Ozaki,Masaya Ozaki,Quail Films,"Mugi Kadowaki, Takahiro Miura, Makita Sports, You, Yû Hirukawa, Ryusuke Komakine, Takurô Okamoto, Junpei Yasui","Mami is closed off in her own world. Her father Eisuke finds her a job debugging video games. She silently plays video games for a job that wasn't supposed to involve talking with anyone, but things don't go as planned.",6.5,135,,,,,1.0,3.0
tt6323870,Derelict,Derelict,2017,2017-10-17,"Drama, Horror, Mystery",80,Australia,English,"Cristian Broadhurst, Cristian Broadhurst",Cristian Broadhurst,,"Tristan Balz, James Broadhurst, Justin Burford, Amy Celisano, Taran Dunn, Christopher Sansoni, Craig Van Waardenburg",Three friends find themselves fighting for their lives when their urban exploration goes horribly wrong.,4.9,197,AUD 150000,,,,2.0,2.0
tt6324278,Il piccolo yeti,Abominable,2019,2019-10-03,"Animation, Adventure, Comedy",97,"China, USA, Japan","English, Mandarin","Jill Culton, Todd Wilderman",Jill Culton,DreamWorks Animation,"Chloe Bennet, Albert Tsai, Tenzing Norgay Trainor, Joseph Izzo, Sarah Paulson, Eddie Izzard, Tsai Chin, Michelle Wong, Rich Dietl, James Hong, Christine Lin, Kym Miller, Jason Ko, Trevor Devall, Karen Huie",Three teenagers must help a Yeti return to his family while avoiding a wealthy man and a zoologist who want him for their own needs.,7.0,25813,$ 75000000,$ 60716390,$ 179990300,61.0,251.0,137.0
tt6324614,Sobibor - La grande fuga,Sobibor,2018,2018-05-03,"Drama, History, War",110,"Russia, Germany, Lithuania, Poland","Dutch, Russian, German, Polish",Konstantin Khabenskiy,"Michael Edelstein, Anna Tchernakova",ArtBox Company,"Konstantin Khabenskiy, Christopher Lambert, Mariya Kozhevnikova, Michalina Olszanska, Philippe Reinhardt, Maximilian Dirr, Mindaugas Papinigis, Wolfgang Cerny, Roman Ageev, Saulius Balandis, Wieslaw Cichy, Sergey Godin, Darius Gumauskas, Felice Jankell, Dainius Kazlauskas","""Sobibor"" is based on the history of the Sobibór extermination camp uprising during WWII and Soviet officer Alexander Pechersky. When he was a POW in Sobibor, he managed to do the ...",6.4,3877,,,$ 5096619,,25.0,42.0
